pos,Magnetic_Field,Electric_Field
0,-0.00000,0.00000
1,-0.00000,-0.00000
2,-0.00000,-0.00000
3,-0.00000,-0.00000
4,-0.00000,-0.00000
5,-0.00000,-0.00000
6,-0.00000,-0.00000
7,-0.00000,-0.00000
8,-0.00000,-0.00000
9,-0.00000,-0.00000
10,-0.00000,-0.00000
11,-0.00000,-0.00000
12,-0.00000,-0.00000
13,-0.00000,-0.00000
14,-0.00000,-0.00000
15,-0.00000,-0.00000
16,-0.00000,-0.00000
17,-0.00000,-0.00000
18,-0.00000,-0.00000
19,-0.00000,-0.00000
20,-0.00000,-0.00000
21,-0.00000,-0.00000
22,-0.00000,-0.00000
23,-0.00000,-0.00000
24,-0.00000,-0.00000
25,-0.00000,-0.00000
26,-0.00000,-0.00000
27,-0.00000,-0.00000
28,-0.00000,-0.00000
29,-0.00000,-0.00000
30,-0.00000,-0.00000
31,-0.00000,-0.00000
32,-0.00000,-0.00000
33,-0.00000,-0.00000
34,-0.00000,-0.00000
35,-0.00000,0.00000
36,-0.00000,-0.00000
37,0.00000,0.00000
38,-0.00000,-0.00000
39,0.00000,0.00000
40,-0.00000,-0.00000
41,0.00000,0.00000
42,-0.00000,-0.00000
43,0.00000,0.00000
44,0.00000,-0.00000
45,0.00000,-0.00000
46,0.00000,-0.00000
47,0.00000,-0.00000
48,0.00000,-0.00000
49,0.00000,-0.00000
50,0.00000,-0.00000
51,0.00000,-0.00000
52,0.00000,-0.00000
53,0.00000,-0.00000
54,0.00000,-0.00000
55,0.00000,-0.00000
56,0.00000,-0.00000
57,0.00000,-0.00000
58,0.00000,-0.00000
59,0.00000,-0.00000
60,0.00000,-0.00000
61,0.00000,-0.00000
62,0.00000,-0.00000
63,0.00000,-0.00000
64,0.00000,-0.00000
65,0.00000,-0.00000
66,0.00000,0.00012
67,0.00000,0.00010
68,0.00000,0.00029
69,0.00000,0.00038
70,0.00000,0.00077
71,0.00000,0.00115
72,0.00001,0.00197
73,0.00001,0.00301
74,0.00001,0.00478
75,0.00002,0.00716
76,0.00003,0.01077
77,0.00004,0.01560
78,0.00006,0.02240
79,0.00009,0.03124
80,0.00013,0.04291
81,0.00017,0.05745
82,0.00023,0.07550
83,0.00031,0.09686
84,0.00039,0.12175
85,0.00050,0.14939
86,0.00062,0.17932
87,0.00076,0.20996
88,0.00092,0.24003
89,0.00108,0.26720
90,0.00126,0.28962
91,0.00144,0.30466
92,0.00161,0.31055
93,0.00179,0.30518
94,0.00194,0.28773
95,0.00208,0.25746
96,0.00220,0.21525
97,0.00228,0.16218
98,0.00233,0.10093
99,0.00235,0.03420
100,0.00233,-0.03420
101,0.00228,-0.10093
102,0.00220,-0.16218
103,0.00208,-0.21525
104,0.00194,-0.25746
105,0.00179,-0.28773
106,0.00161,-0.30518
107,0.00144,-0.31055
108,0.00126,-0.30466
109,0.00108,-0.28962
110,0.00092,-0.26720
111,0.00076,-0.24003
112,0.00062,-0.20996
113,0.00050,-0.17932
114,0.00039,-0.14939
115,0.00031,-0.12175
116,0.00023,-0.09686
117,0.00017,-0.07550
118,0.00013,-0.05745
119,0.00009,-0.04291
120,0.00006,-0.03124
121,0.00004,-0.02240
122,0.00003,-0.01560
123,0.00002,-0.01077
124,0.00001,-0.00716
125,0.00001,-0.00478
126,0.00001,-0.00301
127,0.00000,-0.00197
128,0.00000,-0.00115
129,0.00000,-0.00077
130,0.00000,-0.00038
131,0.00000,-0.00029
132,0.00000,-0.00010
133,0.00000,-0.00012
134,0.00000,0.00000
135,0.00000,0.00000
136,0.00000,0.00000
137,0.00000,0.00000
138,0.00000,0.00000
139,0.00000,0.00000
140,0.00000,0.00000
141,0.00000,0.00000
142,0.00000,0.00000
143,0.00000,0.00000
144,0.00000,0.00000
145,0.00000,0.00000
146,0.00000,0.00000
147,0.00000,0.00000
148,0.00000,0.00000
149,0.00000,0.00000
150,0.00000,0.00000
151,0.00000,0.00000
152,0.00000,0.00000
153,0.00000,0.00000
154,0.00000,0.00000
155,-0.00000,-0.00000
156,0.00000,0.00000
157,-0.00000,-0.00000
158,0.00000,0.00000
159,-0.00000,-0.00000
160,-0.00000,0.00000
161,-0.00000,-0.00000
162,-0.00000,0.00000
163,-0.00000,-0.00000
164,-0.00000,0.00000
165,-0.00000,-0.00000
166,-0.00000,0.00000
167,0.00000,0.00000
168,0.00000,0.00000
169,0.00000,0.00000
170,-0.00000,0.00000
171,-0.00000,0.00000
172,0.00000,0.00000
173,0.00000,0.00000
174,0.00000,0.00000
175,0.00000,0.00000
176,0.00000,0.00000
177,0.00000,0.00000
178,0.00000,0.00000
179,0.00000,0.00000
180,0.00000,0.00000
181,0.00000,0.00000
182,0.00000,0.00000
183,0.00000,0.00000
184,0.00000,0.00000
185,0.00000,0.00000
186,0.00000,0.00000
187,0.00000,0.00000
188,0.00000,0.00000
189,0.00000,0.00000
190,0.00000,0.00000
191,0.00000,0.00000
192,0.00000,0.00000
193,0.00000,0.00000
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,-0.00000,0.00000
198,0.00000,0.00000
